iter	RMSE
0	1.71064041
1	1.606367463
2	1.508161996
3	1.414933045
4	1.327971888
5	1.24689912
6	1.170887607
7	1.098982856
8	1.033914984
9	0.9774900119
10	0.919851897
11	0.8642036841
12	0.8116546351
13	0.7644639337
14	0.7201067582
15	0.6767773816
16	0.6373768987
17	0.5986443379
18	0.5645703535
19	0.530947086
20	0.4999935655
21	0.4709819446
22	0.4449279111
23	0.4191078971
24	0.394429131
25	0.3718623072
26	0.350510672
27	0.3302155191
28	0.3114510209
29	0.2934866916
30	0.2774504274
31	0.262196495
32	0.2477949365
33	0.234426122
34	0.2218644765
35	0.210391461
36	0.1995666632
37	0.1893123377
38	0.1797517342
39	0.1710107704
40	0.1628092317
41	0.1551060283
42	0.1482133306
43	0.1416349055
44	0.1356911772
45	0.1300631327
46	0.1249787926
47	0.1201922092
48	0.1158158726
49	0.1117905974
50	0.1081816406
51	0.1048764752
52	0.1018151867
53	0.09911572836
54	0.09658602641
55	0.09415501716
56	0.09197153808
57	0.0900846913
58	0.08824037549
59	0.0865935983
60	0.08504378223
61	0.08371313496
62	0.08251184732
63	0.08143116183
64	0.08044713371
65	0.079496972
66	0.07863019022
67	0.07792242475
68	0.07729818531
69	0.07673472122
70	0.07625096187
71	0.07563057492
72	0.07512052101
73	0.074667715
74	0.07431116231
75	0.07393780599
76	0.0736313342
77	0.07337619782
78	0.07304107211
79	0.07273852881
80	0.07244405921
81	0.07222011218
82	0.0719068369
83	0.07171237935
84	0.07153756544
85	0.0713890686
86	0.07123219812
87	0.07105253184
88	0.0708303968
89	0.0706402513
90	0.07050743843
91	0.07033877011
92	0.07010741579
93	0.0699636685
94	0.06987233012
95	0.06979082717
96	0.069721169
97	0.06966032788
98	0.06958080617
99	0.06952506029
100	0.06942429713
101	0.06936063345
102	0.06927985743
103	0.06915793871
104	0.06907681824
105	0.06902472309
106	0.0689230015
107	0.06888957134
108	0.06879230638
109	0.068724927
110	0.06864822674
111	0.06858401286
112	0.06842066929
113	0.06831040455
114	0.06825396526
115	0.06815468085
116	0.06811771209
117	0.06807539365
118	0.06802103366
119	0.06796052045
120	0.06787454924
121	0.06782243178
122	0.06776422609
123	0.06772784696
124	0.06766313094
125	0.06760644399
126	0.0675218113
127	0.067480153
128	0.06742438587
129	0.06734845063
130	0.06730605204
131	0.06724359068
132	0.06718798955
133	0.0671217455
134	0.06709177046
135	0.06707698573
136	0.06704049424
