<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	140.664	140.913	140.663	140.880	88	0	83
2021.01.04	00:15:00	140.880	141.044	140.863	140.944	92	0	58
2021.01.04	00:30:00	140.944	140.955	140.861	140.901	50	0	92
2021.01.04	00:45:00	140.901	140.986	140.901	140.939	35	0	105
2021.01.04	01:00:00	140.957	141.117	140.944	141.105	823	0	13
2021.01.04	01:15:00	141.105	141.209	141.075	141.186	944	0	6
2021.01.04	01:30:00	141.186	141.308	141.161	141.283	809	0	6
2021.01.04	01:45:00	141.283	141.304	141.220	141.244	972	0	6
2021.01.04	02:00:00	141.244	141.277	140.990	141.008	2112	0	6
2021.01.04	02:15:00	141.007	141.029	140.903	140.910	1705	0	8
2021.01.04	02:30:00	140.912	140.912	140.779	140.831	1480	0	6
2021.01.04	02:45:00	140.831	140.982	140.823	140.912	2140	0	6
2021.01.04	03:00:00	140.912	141.004	140.901	140.986	1710	0	6
2021.01.04	03:15:00	140.986	141.099	140.956	141.086	1459	0	6
2021.01.04	03:30:00	141.086	141.099	141.015	141.070	1333	0	7
2021.01.04	03:45:00	141.070	141.075	140.992	141.001	1235	0	7
2021.01.04	04:00:00	141.001	141.080	140.961	141.050	1191	0	7
2021.01.04	04:15:00	141.050	141.084	140.969	141.005	1122	0	6
2021.01.04	04:30:00	141.005	141.031	140.957	140.990	815	0	7
2021.01.04	04:45:00	140.990	141.047	140.967	141.005	915	0	6
2021.01.04	05:00:00	141.005	141.043	140.992	141.030	792	0	7
2021.01.04	05:15:00	141.030	141.045	141.007	141.029	574	0	6
2021.01.04	05:30:00	141.029	141.030	140.973	140.978	718	0	7
2021.01.04	05:45:00	140.978	140.993	140.964	140.989	591	0	6
2021.01.04	06:00:00	140.989	141.044	140.968	141.038	417	0	7
2021.01.04	06:15:00	141.038	141.041	140.944	140.948	713	0	6
2021.01.04	06:30:00	140.948	140.963	140.888	140.928	839	0	6
2021.01.04	06:45:00	140.928	140.939	140.896	140.903	587	0	6
2021.01.04	07:00:00	140.903	140.953	140.875	140.927	754	0	6
2021.01.04	07:15:00	140.927	140.932	140.851	140.872	917	0	6
2021.01.04	07:30:00	140.872	140.928	140.868	140.894	806	0	8
