<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	140.664	140.905	140.663	140.842	31	0	104
2021.01.04	00:05:00	140.842	140.913	140.826	140.881	30	0	83
2021.01.04	00:10:00	140.881	140.888	140.858	140.880	27	0	104
2021.01.04	00:15:00	140.880	140.898	140.863	140.876	16	0	84
2021.01.04	00:20:00	140.876	141.014	140.863	140.921	41	0	58
2021.01.04	00:25:00	140.919	141.044	140.919	140.944	35	0	101
2021.01.04	00:30:00	140.944	140.955	140.925	140.955	25	0	124
2021.01.04	00:35:00	140.955	140.955	140.945	140.955	7	0	103
2021.01.04	00:40:00	140.955	140.955	140.861	140.901	18	0	92
2021.01.04	00:45:00	140.901	140.914	140.901	140.914	7	0	116
2021.01.04	00:50:00	140.914	140.986	140.911	140.917	13	0	105
2021.01.04	00:55:00	140.917	140.968	140.911	140.939	15	0	106
2021.01.04	01:00:00	140.957	141.034	140.944	140.999	488	0	29
2021.01.04	01:05:00	140.999	141.063	140.984	141.056	177	0	13
2021.01.04	01:10:00	141.056	141.117	141.040	141.105	158	0	21
2021.01.04	01:15:00	141.105	141.136	141.081	141.099	263	0	17
2021.01.04	01:20:00	141.099	141.153	141.075	141.133	345	0	15
2021.01.04	01:25:00	141.133	141.209	141.129	141.186	336	0	6
2021.01.04	01:30:00	141.186	141.217	141.161	141.205	339	0	6
2021.01.04	01:35:00	141.205	141.278	141.205	141.268	223	0	6
2021.01.04	01:40:00	141.268	141.308	141.262	141.283	247	0	12
2021.01.04	01:45:00	141.283	141.304	141.258	141.287	395	0	6
2021.01.04	01:50:00	141.287	141.288	141.220	141.235	264	0	9
2021.01.04	01:55:00	141.238	141.270	141.238	141.244	313	0	11
2021.01.04	02:00:00	141.244	141.277	141.102	141.102	691	0	6
2021.01.04	02:05:00	141.102	141.106	140.993	141.059	807	0	6
2021.01.04	02:10:00	141.059	141.059	140.990	141.008	614	0	9
2021.01.04	02:15:00	141.007	141.029	140.991	141.028	816	0	8
2021.01.04	02:20:00	141.028	141.028	140.974	140.980	452	0	10
2021.01.04	02:25:00	140.979	140.997	140.903	140.910	437	0	11
2021.01.04	02:30:00	140.912	140.912	140.849	140.861	493	0	6
2021.01.04	02:35:00	140.861	140.864	140.779	140.822	543	0	8
2021.01.04	02:40:00	140.822	140.868	140.779	140.831	444	0	6
2021.01.04	02:45:00	140.831	140.878	140.829	140.859	607	0	7
2021.01.04	02:50:00	140.859	140.982	140.823	140.941	1022	0	6
2021.01.04	02:55:00	140.944	140.956	140.875	140.912	511	0	6
2021.01.04	03:00:00	140.912	140.944	140.901	140.915	608	0	6
2021.01.04	03:05:00	140.915	140.999	140.905	140.995	593	0	10
2021.01.04	03:10:00	140.995	141.004	140.977	140.986	509	0	6
2021.01.04	03:15:00	140.986	140.990	140.956	140.976	457	0	8
2021.01.04	03:20:00	140.976	141.060	140.967	141.056	437	0	6
2021.01.04	03:25:00	141.056	141.099	141.020	141.086	565	0	6
2021.01.04	03:30:00	141.086	141.099	141.022	141.030	510	0	7
2021.01.04	03:35:00	141.030	141.062	141.015	141.046	297	0	9
2021.01.04	03:40:00	141.046	141.083	141.044	141.070	526	0	9
2021.01.04	03:45:00	141.070	141.073	141.009	141.060	500	0	7
2021.01.04	03:50:00	141.060	141.075	141.004	141.033	394	0	11
2021.01.04	03:55:00	141.033	141.052	140.992	141.001	341	0	10
2021.01.04	04:00:00	141.001	141.043	140.961	141.004	458	0	7
2021.01.04	04:05:00	141.004	141.052	141.004	141.030	385	0	8
2021.01.04	04:10:00	141.030	141.080	141.014	141.050	348	0	7
2021.01.04	04:15:00	141.050	141.084	141.042	141.074	302	0	6
2021.01.04	04:20:00	141.073	141.081	140.979	140.981	459	0	9
2021.01.04	04:25:00	140.979	141.010	140.969	141.005	361	0	10
2021.01.04	04:30:00	141.005	141.031	140.998	141.018	323	0	9
2021.01.04	04:35:00	141.018	141.019	140.957	140.972	296	0	7
2021.01.04	04:40:00	140.972	141.003	140.969	140.990	196	0	10
2021.01.04	04:45:00	140.990	141.025	140.967	141.022	392	0	8
2021.01.04	04:50:00	141.022	141.047	141.000	141.001	277	0	6
2021.01.04	04:55:00	141.001	141.013	140.981	141.005	246	0	8
2021.01.04	05:00:00	141.005	141.040	140.993	140.998	345	0	7
2021.01.04	05:05:00	140.998	141.043	140.992	141.027	218	0	7
2021.01.04	05:10:00	141.027	141.042	141.009	141.030	229	0	7
2021.01.04	05:15:00	141.030	141.035	141.007	141.030	201	0	6
2021.01.04	05:20:00	141.030	141.045	141.016	141.039	217	0	7
2021.01.04	05:25:00	141.041	141.043	141.021	141.029	156	0	7
2021.01.04	05:30:00	141.029	141.030	141.005	141.008	282	0	10
2021.01.04	05:35:00	141.008	141.013	140.987	140.993	238	0	7
2021.01.04	05:40:00	140.993	141.006	140.973	140.978	198	0	8
2021.01.04	05:45:00	140.978	140.990	140.971	140.988	195	0	6
2021.01.04	05:50:00	140.988	140.990	140.964	140.970	182	0	7
2021.01.04	05:55:00	140.970	140.993	140.965	140.989	214	0	8
2021.01.04	06:00:00	140.989	140.990	140.968	140.977	151	0	7
2021.01.04	06:05:00	140.977	141.022	140.977	141.019	126	0	7
2021.01.04	06:10:00	141.019	141.044	141.016	141.038	140	0	7
2021.01.04	06:15:00	141.038	141.041	141.009	141.012	145	0	9
2021.01.04	06:20:00	141.012	141.038	140.970	140.988	314	0	6
2021.01.04	06:25:00	140.988	140.989	140.944	140.948	254	0	9
2021.01.04	06:30:00	140.948	140.963	140.889	140.897	325	0	7
2021.01.04	06:35:00	140.897	140.952	140.888	140.935	273	0	6
2021.01.04	06:40:00	140.935	140.939	140.892	140.928	241	0	6
2021.01.04	06:45:00	140.928	140.939	140.907	140.924	165	0	6
2021.01.04	06:50:00	140.924	140.936	140.914	140.924	186	0	9
2021.01.04	06:55:00	140.924	140.934	140.896	140.903	236	0	9
2021.01.04	07:00:00	140.903	140.923	140.875	140.892	258	0	6
2021.01.04	07:05:00	140.893	140.915	140.878	140.915	254	0	9
2021.01.04	07:10:00	140.915	140.953	140.912	140.927	242	0	7
2021.01.04	07:15:00	140.927	140.932	140.851	140.871	424	0	7
2021.01.04	07:20:00	140.871	140.890	140.851	140.859	259	0	6
2021.01.04	07:25:00	140.859	140.894	140.859	140.872	234	0	6
2021.01.04	07:30:00	140.872	140.905	140.868	140.901	283	0	8
2021.01.04	07:35:00	140.901	140.928	140.901	140.909	295	0	9
2021.01.04	07:40:00	140.909	140.923	140.888	140.894	228	0	11
2021.01.04	07:45:00	140.894	140.917	140.873	140.914	262	0	9
2021.01.04	07:50:00	140.914	140.916	140.888	140.888	199	0	7
2021.01.04	07:55:00	140.888	140.962	140.880	140.942	578	0	6
2021.01.04	08:00:00	140.943	140.989	140.934	140.976	498	0	8
2021.01.04	08:05:00	140.976	141.013	140.961	140.962	454	0	6
2021.01.04	08:10:00	140.962	140.983	140.907	140.920	399	0	6
2021.01.04	08:15:00	140.920	140.933	140.895	140.931	326	0	9
2021.01.04	08:20:00	140.931	140.938	140.895	140.920	223	0	6
2021.01.04	08:25:00	140.920	140.924	140.872	140.888	245	0	6
2021.01.04	08:30:00	140.888	140.917	140.885	140.907	158	0	9
2021.01.04	08:35:00	140.907	140.938	140.892	140.929	184	0	9
2021.01.04	08:40:00	140.929	140.960	140.923	140.931	217	0	6
2021.01.04	08:45:00	140.931	140.942	140.908	140.910	220	0	9
2021.01.04	08:50:00	140.910	140.947	140.898	140.938	270	0	8
2021.01.04	08:55:00	140.938	140.953	140.930	140.944	330	0	10
2021.01.04	09:00:00	140.941	141.008	140.938	140.987	498	0	6
2021.01.04	09:05:00	140.987	141.006	140.965	140.981	332	0	6
2021.01.04	09:10:00	140.980	141.029	140.972	141.021	405	0	7
2021.01.04	09:15:00	141.023	141.065	141.019	141.030	373	0	6
2021.01.04	09:20:00	141.030	141.030	140.955	140.990	410	0	6
2021.01.04	09:25:00	140.989	140.992	140.958	140.979	309	0	8
2021.01.04	09:30:00	140.979	140.997	140.954	140.997	431	0	6
2021.01.04	09:35:00	140.997	141.036	140.909	140.935	467	0	6
2021.01.04	09:40:00	140.935	140.946	140.885	140.942	462	0	6
2021.01.04	09:45:00	140.942	140.971	140.887	140.895	682	0	6
2021.01.04	09:50:00	140.894	140.915	140.752	140.776	663	0	6
2021.01.04	09:55:00	140.776	140.869	140.772	140.858	579	0	6
2021.01.04	10:00:00	140.861	140.923	140.787	140.871	797	0	6
2021.01.04	10:05:00	140.871	140.917	140.777	140.807	742	0	6
2021.01.04	10:10:00	140.807	140.868	140.729	140.745	567	0	6
2021.01.04	10:15:00	140.744	140.777	140.709	140.749	792	0	6
2021.01.04	10:20:00	140.749	140.750	140.635	140.681	797	0	6
2021.01.04	10:25:00	140.681	140.696	140.620	140.660	596	0	6
2021.01.04	10:30:00	140.660	140.705	140.591	140.610	806	0	6
2021.01.04	10:35:00	140.610	140.643	140.580	140.628	666	0	6
2021.01.04	10:40:00	140.628	140.696	140.628	140.693	702	0	6
2021.01.04	10:45:00	140.693	140.740	140.641	140.709	504	0	6
2021.01.04	10:50:00	140.711	140.756	140.690	140.735	373	0	6
2021.01.04	10:55:00	140.735	140.770	140.726	140.744	438	0	6
2021.01.04	11:00:00	140.744	140.787	140.720	140.723	504	0	6
2021.01.04	11:05:00	140.721	140.738	140.613	140.614	522	0	6
2021.01.04	11:10:00	140.614	140.659	140.587	140.594	428	0	6
2021.01.04	11:15:00	140.594	140.657	140.594	140.621	597	0	6
2021.01.04	11:20:00	140.620	140.650	140.605	140.613	517	0	6
2021.01.04	11:25:00	140.613	140.632	140.539	140.564	561	0	6
2021.01.04	11:30:00	140.570	140.571	140.464	140.505	593	0	6
