iter	MultiClass
0	1.079760554
1	1.064349504
2	1.050175904
3	1.036350385
4	1.026423462
5	1.01692019
6	1.009034245
7	1.002090399
8	0.9951143812
9	0.9889404471
10	0.9838238263
11	0.979447533
12	0.9760241304
13	0.9710793973
14	0.9675894219
15	0.963016099
16	0.9591582871
17	0.9562510849
18	0.954702028
19	0.9529759293
20	0.9511806937
21	0.9492304374
22	0.9467748126
23	0.9437431928
24	0.9423771593
25	0.9404294009
26	0.9383165043
27	0.9364040456
28	0.935163519
29	0.9329497156
30	0.931005855
31	0.9296524047
32	0.9282725533
33	0.9265154167
34	0.9245344266
35	0.9217136365
36	0.9203131931
37	0.9193652603
38	0.9189867698
39	0.9169138108
40	0.9145798326
41	0.9124969239
42	0.9118443109
43	0.9101378756
44	0.9075578967
45	0.9058369559
46	0.9038447304
47	0.9031813982
48	0.9022973061
49	0.9014296916
50	0.9009550208
51	0.899639461
52	0.8986705241
53	0.8976884284
54	0.8966256911
55	0.8961009565
56	0.8952294505
57	0.8943269519
58	0.8932496567
59	0.8927650271
60	0.891606954
61	0.8906074926
62	0.8894394578
63	0.888318883
64	0.8875691588
65	0.8871311408
66	0.8865927373
67	0.8856788105
68	0.8845144593
69	0.883254592
70	0.8827198409
71	0.8812663053
72	0.8804963481
73	0.8797590569
74	0.8790704995
75	0.8780854675
76	0.8768933399
77	0.8758870867
78	0.8751877449
79	0.8745283088
80	0.8725471945
81	0.8700151933
82	0.8687823351
83	0.8675385539
84	0.866783995
85	0.8662016198
86	0.8653541292
87	0.8640731136
88	0.8629855004
89	0.8623103359
90	0.86120464
91	0.8597704134
92	0.8589976847
93	0.857705274
94	0.8567552353
95	0.8555701403
96	0.8539534542
97	0.8533455659
98	0.8518639482
99	0.8505975515
100	0.8495439832
101	0.8483792544
102	0.847746956
103	0.8465242906
104	0.8452525921
105	0.8442274464
106	0.8431931838
107	0.8414050971
108	0.8396375253
109	0.8390072928
110	0.8383535893
111	0.8374998566
112	0.8361208426
113	0.8349985008
114	0.8343781741
115	0.8329172725
116	0.8319297006
117	0.8308952036
118	0.8301081805
119	0.8289880347
120	0.8279547017
121	0.8268246196
122	0.8258519984
123	0.8253629132
124	0.8229953251
125	0.82185216
126	0.8212908772
127	0.8201755453
128	0.8189540596
129	0.8180363526
130	0.8164080959
131	0.8159424906
132	0.8146693585
133	0.8140137194
134	0.813258952
135	0.8125650442
136	0.811558645
137	0.8103681444
138	0.8088130341
139	0.8079763615
140	0.8066446406
141	0.8049612828
142	0.8034042103
143	0.8026599335
144	0.801350927
145	0.800773125
146	0.8002524121
147	0.7996121657
148	0.7987420549
149	0.7973337466
150	0.796410739
151	0.7954212221
152	0.7942617341
153	0.7928574719
154	0.7919421648
155	0.791135975
156	0.7905057803
157	0.7894071809
158	0.7886138124
