iter	Passed	Remaining
418	4007	5557
419	4021	5553
420	4027	5538
421	4032	5523
422	4037	5507
423	4047	5498
424	4056	5488
425	4066	5479
426	4079	5474
427	4093	5470
428	4111	5472
429	4117	5457
430	4126	5447
431	4132	5433
432	4137	5418
433	4151	5414
434	4156	5399
435	4171	5396
436	4182	5389
437	4191	5378
438	4207	5376
439	4218	5369
440	4226	5357
441	4234	5346
442	4241	5332
443	4249	5321
444	4255	5307
445	4270	5304
446	4285	5301
447	4296	5294
448	4313	5293
449	4319	5279
450	4325	5265
451	4340	5262
452	4358	5262
453	4370	5255
454	4378	5244
455	4389	5236
456	4395	5223
457	4403	5210
458	4409	5197
459	4418	5186
460	4427	5176
461	4437	5167
462	4451	5163
463	4461	5153
464	4474	5147
465	4481	5135
466	4492	5127
467	4505	5121
468	4517	5114
469	4522	5099
470	4529	5086
471	4535	5073
472	4540	5058
473	4545	5044
474	4558	5038
475	4569	5030
476	4579	5020
477	4588	5010
478	4599	5003
479	4609	4993
480	4619	4983
481	4629	4975
482	4634	4960
483	4640	4946
484	4644	4932
485	4650	4918
486	4662	4911
487	4674	4904
488	4680	4891
489	4686	4877
490	4695	4867
491	4713	4867
492	4720	4854
493	4730	4845
494	4735	48314495	4744	48214496	4755	48124497	4766	4804495	4833	4911
496	4843	4902
497	4849	4888
4501	4812	4773
502	4824	4766
503	4839	4762
504	4850	4754
505	4859	4743
506	4867	4732
507	4874	4721
508	4882	4709
509	4896	4704
510	4904	4693
511	4911	4681
512	4920	4670
513	4927	4658
514	4932	4645
515	4944	4637
516	4960	4634
517	4975	4629
518	4980	4615
519	4985	4602
520	4998	4595
521	5013	4591
522	5024	4582
523	5033	4572
524	5048	4567
525	5062	4562
526	5068	4549
527	5084	4544
528	5093	4534
529	5098	4521
530	5108	4511
531	5115	4500
532	5123	4489
533	5130	4477
534	5142	4469
535	5148	4456
536	5158	4447
537	5172	4441
538	5192	4440
539	5202	4431
540	5222	4430
541	5228	4418
542	5233	4404
543	5242	4394
544	5247	4380
545	5259	4373
546	5269	4364
547	5275	4351
548	5283	4340
549	5288	4327
550	5307	4324
551	5316	4315
552	5322	4302
553	5330	4291
554	5343	4284
555	5355	4276
556	5364	4266
557	5370	4254
558	5377	4242
559	5385	4231
560	5400	4225
561	5414	4219
562	5425	4211
563	5434	4201
564	5439	4188
565	5444	4175
566	5450	4162
567	5456	4150
568	5463	4138
569	5469	4126
570	5477	41155571	5496	4112
572	5502	4100
573	5510	4089
574	5521	4080
575	5530	4071
576	5536	4058
577	5546	4049
578	5553	4038
579	5560	4026
580	5569	4016
581	5594	4018
582	5608	4011
583	5618	4002
584	5624	3989
585	5633	3979
586	5648	3974
587	5661	3966
588	5671	3957
589	5686	3951
590	5693	3940
591	5699	3928
592	5706	3916
593	5721	3910
594	5727	3898
595	5739	3890
596	5746	3879
597	5761	3873
598	5771	3863
599	5782	3854
600	5787	3841
601	5802	3836
602	5810	3825
603	5820	3816
604	5840	3813
605	5849	3802
606	5859	3793
607	5864	3781
608	5869	3768
609	5877	3757
610	5887	3748
611	5892	3736
612	5898	3723
613	5907	3713
614	5911	3700
615	5917	3688
616	5935	3684
617	5951	3678
618	5977	3679
619	5981	3666
620	5988	3654
621	5993	3642
622	5999	3630
623	6015	3624
624	6026	3615
625	6037	3606
626	6043	3595
627	6048	3583
628	6056	3572
629	6062	3560
630	6072	3551
631	6082	3541
632	6091	3531
633	6100	3521
634	6117	3516
635	6130	3508
636	6137	3497
637	6146	3487
638	6153	3476
639	6163	3466
640	6171	3456
641	6178	3445
642	6186	3435
643	6195	3424
644	6200	3412
645	6205	3400
646	6210	3388
647	6223	3380
648	6228	3368
649	6234	3356647	6300	3422
648	6306	3410
649	6314	3400
650	6326	3391
651	6332	3379
6655	6297	33026656	6304	3291654	6367	3353
655	6374	3342
656	6385	3333
657	6390	3321
658	6400	3311
6662	6363	3234660	6419	3292
6664	6387	32176665	6397	32086666	6409	3199
667	6422	3192
668	6431	3181
669	6441	3172
670	6448	3161
671	6455	31516672	6464	31406673	6478	3133
674	6483	3121
675	6488	31096676	6494	3098674	6557	3157
6678	6522	3083
679	6531	3073
680	6542	3064
681	6555	3056
682	6563	3046
683	6569	3034
684	6588	3029
685	6604	3023
686	6618	3015
687	6633	3008
688	6652	3002
689	6668	2996
690	6674	2984
691	6684	2975
692	6689	2963
693	6698	2953
694	6707	2943
695	6712	2931
696	6717	2920
697	6723	2909
698	6736	2900
699	6746	2891
700	6762	2884
701	6768	2873
702	6774	2862
703	6783	2852
704	6799	2845
705	6813	2837
706	6829	2830
707	6844	2823
708	6853	2813
709	6873	2807
710	6894	2802
711	6905	2793
712	6913	2782
713	6923	2773
714	6930	2762
715	6937	2751
716	6951	2743
717	6964	2735
718	6974	2725
719	6986	2717
720	7000	2708
721	7009	2698
722	7022	2690
723	7036	2682
724	7050	2674
725	7055	2662
726	7063	2652
727	7071	2641
728	7076	2630
729	7087	2621
730	7096	2611
731	7110	2603
732	7119	2593
733	7129	2583
734	7144	2575
735	7155	2566
736	7164	2556
737	7179	2548
738	7189	2539
739	7198	2529
740	7210	2520
741	7224	2512
742	7234	2502
743	7249	2494
744	7263	2486
745	7278	2478
746	7288	2468
747	7299	2459
748	7313	2451
749	7326	2442
750	7336	2432
751	7345	2422
752	7356	2413
753	7363	2402
754	7368	2391
755	7375	2380
756	7382	2369
757	7395	2361
758	7401	2349
759	7415	2341
760	7424	2331
761	7430	2320
762	7454	2315
763	7469	2307
764	7476	2296
765	7483	2286
766	7493	2276
767	7502	2266
768	7509	2255
769	7522	2246
770	7548	2241
